iso3,Ii,p_value,p_bonferroni,quadrant_5pct,quadrant_bonf
AGO,-0.0064743587401727715,0.8872127528371899,0.0125,NS,NS
BDI,0.013053380587774197,0.8958520990770776,0.016666666666666666,NS,NS
BEN,0.07418346812986376,0.7936586617906891,0.0125,NS,NS
BFA,-0.06914503497447966,0.5168177116042908,0.008333333333333333,NS,NS
BWA,0.4347797223274276,0.19020155974930691,0.0125,NS,NS
CAF,1.3284474171829153,0.1565237771498483,0.008333333333333333,NS,NS
CIV,0.018379128500019392,0.9082511624121675,0.01,NS,NS
CMR,0.09447595799525584,0.4894522675630065,0.008333333333333333,NS,NS
COD,0.4869896136598237,0.07374018262451594,0.005555555555555556,NS,NS
COG,0.08396280660256607,0.10486747786667776,0.01,NS,NS
DJI,0.10349620614251533,0.8121169651373299,0.025,NS,NS
ERI,-0.03594422961471116,0.8663904765855285,0.016666666666666666,NS,NS
ETH,0.03675327298894724,0.0980824946112647,0.008333333333333333,NS,NS
GAB,0.041703506568151666,0.9014054564602844,0.016666666666666666,NS,NS
GHA,0.13464492145893342,0.7056795781589051,0.016666666666666666,NS,NS
GIN,-0.018638363473527646,0.9353590075844893,0.008333333333333333,NS,NS
GMB,0.24837711017533942,0.7118285178911061,0.05,NS,NS
GNB,0.22044970787082357,0.5032277010038364,0.025,NS,NS
GNQ,0.10243880376148112,0.8026006611486589,0.025,NS,NS
KEN,-0.20638754576208454,0.05840869230623275,0.01,NS,NS
LBR,-0.0012431021570951158,0.86384127753739115,0.016666666666666666,NS,NS
LSO,0.41835496622364676,0.5170728140987954,0.05,NS,NS
MDG,-0,NA,Inf,NS,NS
MLI,-0.2411795210182976,0.4598317925557139,0.008333333333333333,NS,NS
MOZ,0.07640364061960667,0.1266056598049105,0.008333333333333333,NS,NS
MRT,-0.10645842742944249,0.8163910376285138,0.025,NS,NS
MWI,0.34466026817642736,0.3791039820150061,0.016666666666666666,NS,NS
NAM,0.28154774697526846,0.23611955578940336,0.01,NS,NS
NER,-0.004530857166698741,0.9947284707800321,0.01,NS,NS
NGA,0.011780052826237727,0.7480851741589054,0.0125,NS,NS
RWA,-0.14085573200374807,0.1320465716472859,0.0125,NS,NS
SDN,0.572869882245181,0.16441800420826197,0.01,NS,NS
SEN,0.12023484269925935,0.47996836061537057,0.01,NS,NS
SLE,-0.19654080995044476,0.7190469788447093,0.025,NS,NS
SOM,-0.39650711487132917,0.9804920270565286,0.025,NS,NS
SSD,0.43542917519320523,0.06518031485154788,0.008333333333333333,NS,NS
SWZ,0.17156331023510873,0.587372202019568,0.025,NS,NS
TCD,-0.16405865937894418,0.10232012562813553,0.01,NS,NS
TGO,0.14710097193467767,0.5271374220737761,0.016666666666666666,NS,NS
TZA,-0.14784134158050408,0.5614072771088112,0.00625,NS,NS
UGA,0.012433349904716926,0.8931151862097663,0.01,NS,NS
ZAF,0.33000355668956827,0.21399657264842617,0.008333333333333333,NS,NS
ZMB,0.2050180220470671,0.3918789566510324,0.00625,NS,NS
ZWE,0.3345218456940753,0.2129665231900547,0.01,NS,NS
