Variable,W1 — Contiguïté (principal),W2 — Distance inverse,W3 — k=5 voisins
ρ (spatial lag Y),"-0.0224
(-0.665)","-0.116
(-1.408)","-0.003
(-0.077)"
NA,"0.7362***
(36.569)",NA,NA
Log migrants (t-1),"0.0052
(0.409)","0.004
(0.314)","5e-04
(0.038)"
Log PIB/hab,"0.0239
(0.874)","0.0132
(0.475)","0.0107
(0.383)"
Démocratie,"-0.0096***
(-3.817)","-0.0094***
(-3.61)","-0.0095***
(-3.784)"
Log ressources,"0.0326**
(2.162)","0.0318**
(2.086)","0.0331**
(2.184)"
W × Log migrants,"0.0477**
(2.083)","0.0862**
(2.088)","0.0686***
(2.963)"
W × Log PIB/hab,"0.0228
(0.626)","0.0039
(0.055)","0.0523
(1.253)"
W × Démocratie,"-4e-04
(-0.094)","-0.0032
(-0.429)","-0.0024
(-0.539)"
W × Log ressources,"-0.029
(-1.268)","-0.0351
(-0.981)","-0.02
(-0.773)"
τ — Conflits (t-1),NA,"0.7388***
(37.679)","0.7291***
(36.465)"
