Variable,1996-2010,2011-2024
ρ (spatial lag Y),-0.0604 (-1.141),-0.0299 (-0.557)
τ — Conflits (t-1),0.6068*** (17.81),0.5724*** (15.929)
Log migrants (t-1),0.0073 (0.258),0.0713* (1.916)
Log PIB/hab,0.0373 (0.783),-0.0189 (-0.33)
Démocratie,-0.0196*** (-4.991),-0.0055 (-1.438)
Log ressources,0.041* (1.783),-0.0273 (-1.211)
W × Log migrants,-0.0695 (-1.461),-0.0021 (-0.037)
W × Log PIB/hab,-0.0334 (-0.405),0.0147 (0.171)
W × Démocratie,-0.0057 (-0.972),-0.0065 (-0.981)
W × Log ressources,-0.0317 (-0.83),0.0066 (0.202)
